,teamname,league,result,firstdragon,firstherald,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons,heralds,firsttower,dragon_buff,infernal_buff,mountain_buff,cloud_buff,ocean_buff,chemtech_buff,hextech_buff,herald_firsttower
10,Fredit BRION Challengers,LCKC,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0,0,0,0,0,0,0,1
11,Nongshim RedForce Challengers,LCKC,1,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0,0,0,0,0,0,0,0
22,T1 Challengers,LCKC,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0,0,0,0,0,0,0,0
23,Liiv SANDBOX Challengers,LCKC,1,1.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,4.0,1.0,1.0,1,0,1,0,0,0,0,1
46,KT Rolster Challengers,LCKC,1,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,4.0,1.0,1.0,1,0,0,0,0,0,1,1
47,Gen.G Challengers,LCKC,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0,0,0,0,0,0,0,0
70,DWG KIA Challengers,LCKC,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,1.0,1.0,1,0,0,0,0,0,1,1
71,DRX Challengers,LCKC,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0,0,0,0,0,0,0,0
94,Kwangdong Freecs Challengers,LCKC,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0,0,0,0,0,0,0,1
95,Hanwha Life Esports Challengers,LCKC,0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,0.0,1,0,0,1,0,0,0,0
130,Vanir,NLC,1,1.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,5.0,2.0,1.0,1,0,0,0,1,0,0,1
