,teamname,league,result,firstdragon,firstherald,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons,heralds,firsttower,dragon_buff,infernal_buff,mountain_buff,cloud_buff,ocean_buff,chemtech_buff,hextech_buff,herald_firsttower
10,Flamengo Esports,CBLOL,1,1.0,1.0,0.0,1.0,1.0,1.0,,,3.0,1.0,1.0,0,0,0,0,0,0,0,1
11,KaBuM! e-Sports,CBLOL,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0,0,0,0,0,0,0,0
22,Vivo Keyd,CBLOL,0,0.0,1.0,0.0,0.0,0.0,0.0,,,0.0,1.0,0.0,0,0,0,0,0,0,0,0
23,Uppercut esports,CBLOL,1,1.0,0.0,3.0,0.0,2.0,0.0,,,5.0,0.0,1.0,1,1,0,1,0,0,0,0
34,ProGaming Esports,CBLOL,0,0.0,1.0,0.0,0.0,0.0,0.0,,,0.0,1.0,0.0,0,0,0,0,0,0,0,0
35,Redemption eSports Porto Alegre,CBLOL,1,1.0,0.0,1.0,1.0,0.0,3.0,,,5.0,0.0,1.0,1,0,0,0,1,0,0,0
46,INTZ,CBLOL,1,0.0,1.0,0.0,0.0,1.0,0.0,,,1.0,1.0,1.0,0,0,0,0,0,0,0,1
47,CNB e-Sports Club,CBLOL,0,1.0,0.0,0.0,1.0,0.0,1.0,,,2.0,0.0,0.0,0,0,0,0,0,0,0,0
58,Uppercut esports,CBLOL,1,1.0,0.0,1.0,1.0,1.0,0.0,,,3.0,0.0,1.0,0,0,0,0,0,0,0,0
59,KaBuM! e-Sports,CBLOL,0,0.0,1.0,1.0,0.0,2.0,0.0,,,3.0,1.0,0.0,0,0,0,0,0,0,0,0
70,Vivo Keyd,CBLOL,0,0.0,0.0,1.0,0.0,0.0,0.0,,,1.0,0.0,0.0,0,0,0,0,0,0,0,0
71,CNB e-Sports Club,CBLOL,1,1.0,1.0,2.0,0.0,1.0,1.0,,,4.0,1.0,1.0,1,1,0,0,0,0,0,1
82,Redemption eSports Porto Alegre,CBLOL,1,1.0,0.0,1.0,0.0,0.0,3.0,,,4.0,0.0,1.0,1,0,0,0,1,0,0,0
83,INTZ,CBLOL,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0,0,0,0,0,0,0,0
94,Flamengo Esports,CBLOL,1,1.0,0.0,1.0,0.0,1.0,0.0,,,2.0,0.0,1.0,0,0,0,0,0,0,0,0
95,ProGaming Esports,CBLOL,0,0.0,1.0,0.0,0.0,0.0,0.0,,,0.0,1.0,0.0,0,0,0,0,0,0,0,0
106,Invictus Gaming,LPL,1,0.0,0.0,1.0,0.0,0.0,0.0,,,1.0,0.0,1.0,0,0,0,0,0,0,0,0
107,Topsports Gaming,LPL,0,1.0,1.0,1.0,0.0,2.0,0.0,,,3.0,1.0,0.0,0,0,0,0,0,0,0,0
118,Topsports Gaming,LPL,0,1.0,1.0,0.0,0.0,0.0,1.0,,,1.0,1.0,1.0,0,0,0,0,0,0,0,1
119,Invictus Gaming,LPL,1,0.0,0.0,0.0,0.0,0.0,2.0,,,2.0,0.0,0.0,0,0,0,0,0,0,0,0
142,FunPlus Phoenix,LPL,1,0.0,1.0,1.0,0.0,0.0,1.0,,,2.0,1.0,1.0,0,0,0,0,0,0,0,1
143,Rogue Warriors,LPL,0,1.0,0.0,2.0,0.0,0.0,0.0,,,2.0,0.0,0.0,0,0,0,0,0,0,0,0
166,SinoDragon Gaming,LPL,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0,0,0,0,0,0,0,0
167,EDward Gaming,LPL,1,1.0,1.0,0.0,1.0,0.0,0.0,,,1.0,1.0,1.0,0,0,0,0,0,0,0,1
178,Bilibili Gaming,LPL,1,1.0,0.0,1.0,0.0,0.0,2.0,,,3.0,0.0,1.0,0,0,0,0,0,0,0,0
179,LGD Gaming,LPL,0,0.0,1.0,1.0,0.0,0.0,0.0,,,1.0,1.0,0.0,0,0,0,0,0,0,0,0
190,LGD Gaming,LPL,0,1.0,0.0,0.0,0.0,2.0,0.0,,,2.0,0.0,0.0,0,0,0,0,0,0,0,0
191,Bilibili Gaming,LPL,1,0.0,1.0,0.0,0.0,0.0,1.0,,,1.0,1.0,1.0,0,0,0,0,0,0,0,1
202,SK Telecom T1,LCK,1,1.0,1.0,2.0,0.0,0.0,0.0,,,2.0,1.0,1.0,0,0,0,0,0,0,0,1
203,Jin Air Green Wings,LCK,0,0.0,0.0,0.0,0.0,0.0,1.0,,,1.0,0.0,0.0,0,0,0,0,0,0,0,0
