,teamname,league,result,firstdragon,firstherald,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons,heralds,firsttower,dragon_buff,infernal_buff,mountain_buff,cloud_buff,ocean_buff,chemtech_buff,hextech_buff,herald_firsttower
10,DWG KIA,KeSPA,1,1.0,1.0,1.0,2.0,0.0,1.0,,,4.0,2.0,1.0,1,0,1,0,0,0,0,1
11,Nongshim RedForce,KeSPA,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0,0,0,0,0,0,0,0
22,Nongshim RedForce,KeSPA,0,0.0,1.0,0.0,0.0,0.0,0.0,,,0.0,1.0,0.0,0,0,0,0,0,0,0,0
23,DWG KIA,KeSPA,1,1.0,0.0,1.0,0.0,1.0,2.0,,,4.0,0.0,1.0,1,0,0,0,1,0,0,0
34,Nongshim RedForce,KeSPA,0,0.0,1.0,0.0,0.0,0.0,0.0,,,0.0,2.0,0.0,0,0,0,0,0,0,0,0
35,DWG KIA,KeSPA,1,1.0,0.0,2.0,1.0,1.0,0.0,,,4.0,0.0,1.0,1,1,0,0,0,0,0,0
46,Top Esports,LPL,0,1.0,1.0,0.0,0.0,1.0,1.0,,,2.0,,1.0,0,0,0,0,0,0,0,0
47,Suning,LPL,1,0.0,0.0,2.0,0.0,0.0,0.0,,,2.0,,0.0,0,0,0,0,0,0,0,0
58,Top Esports,LPL,0,0.0,1.0,0.0,0.0,2.0,1.0,,,3.0,,1.0,0,0,0,0,0,0,0,0
59,Suning,LPL,1,1.0,0.0,1.0,0.0,1.0,0.0,,,2.0,,0.0,0,0,0,0,0,0,0,0
70,Oh My God,LPL,0,1.0,1.0,0.0,0.0,0.0,1.0,,,1.0,,0.0,0,0,0,0,0,0,0,0
71,EDward Gaming,LPL,1,0.0,0.0,0.0,1.0,3.0,0.0,,,4.0,,1.0,1,0,0,1,0,0,0,0
82,EDward Gaming,LPL,0,0.0,0.0,0.0,0.0,0.0,1.0,,,1.0,,0.0,0,0,0,0,0,0,0,0
83,Oh My God,LPL,1,1.0,1.0,0.0,1.0,1.0,2.0,,,4.0,,1.0,1,0,0,0,1,0,0,0
94,Oh My God,LPL,0,1.0,1.0,1.0,0.0,1.0,1.0,,,3.0,,0.0,0,0,0,0,0,0,0,0
95,EDward Gaming,LPL,1,0.0,0.0,0.0,0.0,0.0,3.0,,,3.0,,1.0,0,0,0,0,0,0,0,0
106,Not Academy Team,CU,1,0.0,1.0,0.0,2.0,0.0,0.0,,,2.0,2.0,1.0,0,0,0,0,0,0,0,1
107,ANEW Rising,CU,0,1.0,0.0,0.0,1.0,1.0,1.0,,,3.0,0.0,0.0,0,0,0,0,0,0,0,0
118,Super Sunshine Fruit Basket Warriors,CU,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0,0,0,0,0,0,0,0
119,Mirage Sport Électronique,CU,1,1.0,1.0,0.0,1.0,1.0,1.0,,,3.0,2.0,1.0,0,0,0,0,0,0,0,1
130,Cloud9 Amateur,CU,0,1.0,1.0,1.0,1.0,0.0,0.0,,,2.0,1.0,1.0,0,0,0,0,0,0,0,1
