,teamname,league,result,firstdragon,firstherald,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons,heralds,firsttower,dragon_buff,infernal_buff,mountain_buff,cloud_buff,ocean_buff,chemtech_buff,hextech_buff,herald_firsttower
10,Liiv SANDBOX,KeSPA,1,0.0,1.0,0.0,2.0,0.0,0.0,,,2.0,1.0,0.0,0,0,0,0,0,0,0,0
11,T1,KeSPA,0,1.0,0.0,1.0,1.0,1.0,0.0,,,3.0,1.0,1.0,0,0,0,0,0,0,0,1
22,T1,KeSPA,0,0.0,0.0,0.0,0.0,0.0,1.0,,,1.0,0.0,0.0,0,0,0,0,0,0,0,0
23,Liiv SANDBOX,KeSPA,1,1.0,1.0,0.0,1.0,1.0,2.0,,,4.0,2.0,1.0,1,0,0,0,1,0,0,1
34,T1,KeSPA,1,1.0,1.0,0.0,2.0,1.0,1.0,,,4.0,2.0,1.0,1,0,1,0,0,0,0,1
35,Liiv SANDBOX,KeSPA,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0,0,0,0,0,0,0,0
46,T1,KeSPA,0,1.0,1.0,0.0,1.0,0.0,1.0,,,2.0,1.0,0.0,0,0,0,0,0,0,0,0
47,Liiv SANDBOX,KeSPA,1,0.0,0.0,0.0,0.0,3.0,0.0,,,3.0,1.0,1.0,0,0,0,0,0,0,0,1
58,DRX,KeSPA,0,0.0,1.0,0.0,0.0,0.0,1.0,,,1.0,1.0,1.0,0,0,0,0,0,0,0,1
59,Kwangdong Freecs,KeSPA,1,1.0,0.0,0.0,1.0,1.0,2.0,,,4.0,0.0,0.0,1,0,0,0,1,0,0,0
70,Kwangdong Freecs,KeSPA,1,0.0,1.0,1.0,1.0,0.0,0.0,,,2.0,2.0,1.0,0,0,0,0,0,0,0,1
71,DRX,KeSPA,0,1.0,0.0,0.0,1.0,0.0,1.0,,,2.0,0.0,0.0,0,0,0,0,0,0,0,0
82,Kwangdong Freecs,KeSPA,1,0.0,1.0,0.0,0.0,0.0,1.0,,,1.0,1.0,0.0,0,0,0,0,0,0,0,0
83,DRX,KeSPA,0,1.0,0.0,1.0,0.0,1.0,1.0,,,3.0,1.0,1.0,0,0,0,0,0,0,0,1
94,Liiv SANDBOX,KeSPA,0,0.0,1.0,0.0,0.0,0.0,0.0,,,0.0,1.0,0.0,0,0,0,0,0,0,0,0
95,Kwangdong Freecs,KeSPA,1,1.0,0.0,0.0,1.0,1.0,1.0,,,3.0,1.0,1.0,0,0,0,0,0,0,0,1
106,Kwangdong Freecs,KeSPA,1,1.0,0.0,2.0,0.0,1.0,1.0,,,4.0,0.0,0.0,1,1,0,0,0,0,0,0
107,Liiv SANDBOX,KeSPA,0,0.0,1.0,0.0,0.0,0.0,0.0,,,0.0,1.0,1.0,0,0,0,0,0,0,0,1
118,Liiv SANDBOX,KeSPA,0,0.0,1.0,0.0,0.0,0.0,0.0,,,0.0,2.0,1.0,0,0,0,0,0,0,0,1
119,Kwangdong Freecs,KeSPA,1,1.0,0.0,1.0,0.0,1.0,2.0,,,5.0,0.0,0.0,1,0,0,0,1,0,0,0
