,teamname,league,result,firstdragon,firstherald,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons,heralds,firsttower,dragon_buff,infernal_buff,mountain_buff,cloud_buff,ocean_buff,chemtech_buff,hextech_buff,herald_firsttower
346,19esports,DDH,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0,0,0,0,0,0,0,1
347,The Kings Moon,DDH,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
442,Fuego,GL,1,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,0,0,0,0,0,0,0,1
443,Ramo Awake Gaming,GL,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0
454,Fuego,GL,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0,0,0,0,0,0,0,1
455,Ramo Awake Gaming,GL,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
466,Vandals Esports,EL,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0
467,Mezexis Esports,EL,1,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0,0,0,0,0,0,0,1
478,Mayan Esports,GL,1,1.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,4.0,1.0,1.0,1,1,0,0,0,0,0,1
479,Aethernum eSports,GL,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0
490,Saprissa Esports,EL,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0,0,0,0,0,0,0,1
491,War Legion Esports,EL,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0
502,Aethernum eSports,GL,1,1.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,4.0,1.0,1.0,1,0,1,0,0,0,0,1
503,Mayan Esports,GL,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0,0,0,0,0,0,0,0
